Hoc van,TD Tieng Anh,Lam viec nhom,KN Giao Tiep,Experience,RATING
Cao dang ,Advanced,Kem ,Kem ,Fresher,Kha
Dai hoc,Upper-Intermediate,Tot,Tot,Senior,Tot
Cao dang ,Elementary,Kem ,Kem ,Junior,Kem
THPT,Intermediate,Kha ,Kem ,Fresher,Kem
THPT,Upper-Intermediate,Kha ,Kha ,Fresher,Kem
Dai hoc,Upper-Intermediate,Kem ,Kem ,Senior,Kha
Dai hoc,Advanced,Tot,Tot,Senior,Tot
THPT,Elementary,Kha ,Kha ,Junior,Kem
TC nghe,Intermediate,Tot,Tot,Senior,Kha
THPT,Advanced,Kha ,Tot,Junior,Kha
Cao hoc,Advanced,Kem ,Kem ,Senior,Tot
Cao dang ,Upper-Intermediate,Kem ,Kha ,Fresher,Kha
Cao dang ,Upper-Intermediate,Tot,Tot,Senior,Tot
THPT,Beginner,Kem ,Kha ,Fresher,Kem
Cao dang ,Advanced,Kem ,Kem ,Fresher,Kha
TC nghe,Intermediate,Kha ,Tot,Senior,Kem
TC nghe,Advanced,Kha ,Kem ,Senior,Kha
Cao dang ,Intermediate,Kha ,Tot,Junior,Kha
Cao hoc,Advanced,Kem ,Kem ,Junior,Tot
Cao dang ,Advanced,Kem ,Kha ,Senior,Kha
Cao hoc,Upper-Intermediate,Kem ,Kem ,Fresher,Kha
Cao hoc,Advanced,Tot,Kha ,Fresher,Tot
Cao dang ,Intermediate,Kem ,Kem ,Junior,Kha
Cao hoc,Upper-Intermediate,Kem ,Kha ,Junior,Kha
Cao dang ,Upper-Intermediate,Kha ,Kem ,Junior,Kha
Dai hoc,Intermediate,Tot,Tot,Manager,Tot
Dai hoc,Upper-Intermediate,Kha ,Kem ,Junior,Kha
Dai hoc,Upper-Intermediate,Tot,Kha ,Manager,Tot
Dai hoc,Intermediate,Tot,Tot,Manager,Tot
Cao dang ,Upper-Intermediate,Tot,Tot,Senior,Tot
Cao dang ,Elementary,Tot,Tot,Senior,Kha
TC nghe,Beginner,Tot,Tot,Manager,Kha
Cao hoc,Advanced,Kem ,Kem ,Junior,Tot
Cao hoc,Upper-Intermediate,Tot,Kha ,Junior,Kha
TC nghe,Intermediate,Kem ,Kha ,Senior,Kha
Dai hoc,Intermediate,Kha ,Tot,Manager,Tot
Cao hoc,Advanced,Kha ,Kha ,Junior,Tot
Cao hoc,Upper-Intermediate,Kha ,Kha ,Junior,Tot
Cao hoc,Advanced,Kha ,Kha ,Fresher,Tot
Cao hoc,Advanced,Tot,Tot,Junior,Tot
Cao dang ,Elementary,Kem ,Kem ,Senior,Kha
Cao dang ,Upper-Intermediate,Kem ,Kem ,Manager,Kha
Cao hoc,Upper-Intermediate,Tot,Kha ,Junior,Tot
Cao dang ,Upper-Intermediate,Tot,Kha ,Senior,Kha
TC nghe,Advanced,Kem ,Kem ,Fresher,Kha
TC nghe,Intermediate,Kha ,Tot,Senior,Kha
TC nghe,Beginner,Tot,Kha ,Manager,Kha
Dai hoc,Upper-Intermediate,Kem ,Kha ,Junior,Kha
Cao dang ,Elementary,Kem ,Kha ,Junior,Kha
Cao hoc,Advanced,Kha ,Kha ,Junior,Tot
Dai hoc,Upper-Intermediate,Kem ,Kha ,Fresher,Kha
TC nghe,Elementary,Kha ,Kha ,Manager,Kha
TC nghe,Upper-Intermediate,Kem ,Kem ,Junior,Kha
Dai hoc,Advanced,Tot,Kha ,Fresher,Kha
Dai hoc,Upper-Intermediate,Kem ,Kha ,Senior,Kha
Dai hoc,Advanced,Tot,Tot,Manager,Tot
TC nghe,Intermediate,Tot,Kha ,Fresher,Kha
